"kind";"etag";"id";"publishedAt";"channelId";"title";"description";"url";"channelTitle";"playlistId";"position";"videoId";"videoOwnerChannelTitle";"videoOwnerChannelId"
"youtube#video";"dU0paPQX0I-CrGtyQjUJ1nvUiHM";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLnJHM3ZUVzhsWGZV";"2024-05-26T17:32:19Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Hanna vs. Freestyle Man – Always (Freestyle Man Thirsty Monk Mix)";"Label: Séparé Recordings\/nrCountry: Germany 🇩🇪 \/nrRelease: 2003\/nr\/nrThis one is for the night ! Heavy Tech House for a nice groover !\/nr\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/192826-Hanna-vs-Freestyle-Man-Always-EP\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/rG3vTW8lXfU/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"97";"rG3vTW8lXfU";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"jD-BQLvrv_ezL4oECPSsqwfqyUE";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLk9uVnRMcnNtNTBJ";"2024-05-12T14:57:04Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Erlend Øye – Symptom Of Disease (Mesak Mix)";"Label: Source\/nrCountry: UK 🇬🇧 \/nrRelease: 2002\/nr\/nrAs a big fan of Erlend Øye, I am very happy to share a tiny part of his music legacy; with this breakbeat Mesak Mix. \/nrAs always with Erlend Øye, very melancholic. \/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/89648-Erlend-%C3%98ye-Symptom-Of-Disease\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/OnVtLrsm50I/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"98";"OnVtLrsm50I";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"Pyf1crHCDByltt4i_5hJYI1jmSE";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLndoNjIzUHFXenBv";"2024-05-02T21:53:21Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Kerri Chandler - It all comes back to you";"Label: Large Records \/nrCountry: US 🇺🇸 \/nrRelease: 2001\/nr\/nrHappy to have a Kerri Chandler on the channel ! \/nrBeautifull & melancholic autotune ballad. \/nrFunny that It's Shazam who helped me find the ref on this promo version that I found at A1 Paris. \/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/master/320161-Kerri-Chandler-Digitalsoul-Session-Three\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/wh623PqWzpo/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"99";"wh623PqWzpo";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"h80nu8Yuj6vpG0FRzVp5OP1vXro";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLnZWUFZZaEhxSWhz";"2024-04-23T17:13:41Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Fanatix - Lesson Learned (Fanatix Underground Dub)";"Label: Osiris Music\/nrCountry: UK 🇬🇧 \/nrRelease: 2005\/nr\/nrNice Garage House track ! The bassline is keeping you posted during the all track !\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/681617-Fanatix-2-Feat-Kele-Le-Roc-Lesson-Learned\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/vVPVYhHqIhs/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"100";"vVPVYhHqIhs";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"V1iKH77W2j38fF2V9t1qGX9FJkY";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLllfTkgxMTBlcm1F";"2024-04-11T20:19:28Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Dano And Tuhin Roy - Feelin' Alive";"Label: Red Melon Records\/nrCountry: US 🇺🇸 \/nrRelease: 2003\/nr\/nrTypical early 2000's US Deep House Track. The amazing work done on the drums makes a real acoustic feeling. Love it !\/nrHope you enjoy the ride !\/nr\/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/200140-Dano-And-Tuhin-Roy-Disco-Diversions\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/Y_NH110ermE/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"101";"Y_NH110ermE";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"1BmaFtJSx7aey4BF29YSiG10xhE";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLkxzM0NjMHJSR0Z3";"2024-04-03T12:56:13Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Dj Ed - Filmscore";"Label: Upbeat Records\/nrCountry: Germany 🇩🇪\/nrRelease: 1997\/nr\/nrNice Trance archive from 1997. You can feel Prog House isn't far ! I did lower the pitch from 136 to approx 128bpm.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/628545-DJ-Ed-Poetry\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/Ls3Cc0rRGFw/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"102";"Ls3Cc0rRGFw";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"yyrfHt4zjBtyG7zLtOrLfaHuMiA";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLmpKdXpCLUFOa0Vn";"2024-03-20T19:04:02Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Eedio - Purely Kiss (Featuring Nini Rose)";"Label: Difu\/nrCountry: France 🇫🇷 \/nrRelease: 2013\/nr\/nr2013 is the new hit with this nice deep tech house track ! \/nrReally like the little breakbeat break, which makes the beat even better when it comes back .\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/5083213-Eedio-43-EP\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/jJuzB-ANkEg/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"103";"jJuzB-ANkEg";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"FQYOe3RgEIAf5n8HU0nQtgLAy7g";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLkFNV19vY29hWXlz";"2024-03-10T16:49:52Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Axwell – Watch The Sunrise (Patric & Timo Remix)";"Label: Superstar Recordings\/nrCountry: Germany 🇩🇪 \/nrRelease: 2005\/nr\/nrOk the border might be crossed on this massive big room track, but I'm sure if properly sent this can do huge damages to any dancefloor. \/nrAlso, crossing the border can sometimes be a guilty pleasure and for me this track certainly is 🤫\/nr\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/639432-Various-Das-Abendmahl\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/AMW_ocoaYys/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"104";"AMW_ocoaYys";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"2EhmPo5JRY6IYZQNGaUAaQerlBo";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLmhVVkxqZ3MtQjJn";"2024-02-25T16:29:18Z";"UCtmkggMhXf1y4k5dzIsiYRA";"G. Pal Productions - Sometimes I Have Tried (Part 1)";"Label: Low Pressings\/nrCountry: UK 🇬🇧 \/nrRelease: 1999\/nr\/nrLet's continue with this beautiful Deep House track. Amazing work by G. Pal Productions on making the track evolving constantly and smoothly through different phases.\/nrPretty sure this track was inspirational for the minimal wave to come. \/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/114997-G-Pal-Productions-Volume-1\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/hUVLjgs-B2g/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"105";"hUVLjgs-B2g";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"nZJHRe9m3KhMcY6yGBgbTBgn7K0";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLlVrSWUwSnhZQlV3";"2024-02-18T19:19:17Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Jas – Hitchhiking (Streetlife Originals 'Message To The People' Dub)";"Label: Hooj Choons\/nrCountry: UK 🇬🇧 \/nrRelease: 2003\/nr\/nrVery glad to have a Hooj Choons on the channel ! The track reflects perfectly the label's identity: a great mixture of breaks, electro and deep house.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/112669-Jas-Hitchhiking\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/UkIe0JxYBUw/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"106";"UkIe0JxYBUw";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"4GXmrAuzoBXWkTL_YRvgm_tnPNU";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLjVLNmw1anpEbklV";"2024-02-07T15:34:05Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Bryan Zentz - Re Control (Mazi & Joshua Collins Remix)";"Label: Gourmet Recordings\/nrCountry: France 🇫🇷 \/nrRelease: 2006\/nr\/nrThis one is a classic for people who spent some time in the 2nd Hand section of Syncrophone in Paris. \/nrPure class and emotional Deep Tech House, with touches of Electro. \/nrFans of dirty Acid House will also enjoy the other tracks of the EP.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/776810-Bryan-Zentz-Re-Control\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/5K6l5jzDnIU/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"107";"5K6l5jzDnIU";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"uZjkPBK6pv8I_n_ljAZHVzaC-SU";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLlFOSnZDQ2VZcnRn";"2024-01-30T11:07:27Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Zap Mama - Bandy Bandy (Bobby E. Remix)";"Label: Giant Step Records \/nrCountry: US 🇺🇸 \/nrRelease: 2005\/nr\/nrLet's continue with this slow and dreamy Deep House track. Definitely in love with the lead that you can hear during the chorus.\/nrHope you enjoy the ride !\/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/450698-Zap-Mama-Show-Me-The-Way\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/QNJvCCeYrtg/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"108";"QNJvCCeYrtg";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"MjKfKaavRnDzicng5Rsvf688CQ4";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLkkyNk03TnVMck1Z";"2024-01-09T22:32:34Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Blind Sensation presents Ellectrika - I used 2 B A Star (Rocco Antistar Mix)";"Label: BS Traxx\/nrCountry: France 🇫🇷 \/nrRelease: 2004\/nr\/nrI decided to start the channel with this very class Deep House track. \/nrI am really touched by the melancholy that echoes through the different elements of the track.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/870420-Blind-Sensation-Presents-Ellectrika-I-Used-2-B-A-Str\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/I26M7NuLrMY/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"109";"I26M7NuLrMY";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
