"Z_tech_index", "country", "year", "format", "label", "type", "genre", "style", "id", "barcode", "master_id", "master_url", "uri", "catno", "title", "thumb", "cover_image", "resource_url", "community", "format_quantity", "formats"
"157","Unknown","2010","['CDr', 'Compilation', 'Mixed', 'Unofficial Release']","['Renaissance', 'Renaissance: The Masters Series']","release","['Electronic']","['House', 'Tech House']","7720895","[]","86930","https://api.discogs.com/masters/86930","/Satoshi-Tomiie-Renaissance-The-Masters-Series-Part-9/release/7720895","none","Satoshi Tomiie - Renaissance: The Masters Series, Part 9","","","https://api.discogs.com/releases/7720895","{'want': 8, 'have': 2}","2","[{'name': 'CDr', 'qty': '2', 'descriptions': ['Compilation', 'Mixed', 'Unofficial Release']}]"
"158","Spain","1995","['CD', 'Album']","['Tarifa Records']","release","['Electronic']","['House', 'Tech House']","12070417","[]","0","None","/release/12070417-Various-Tarifa-Sandfloor-Club-Vol2","SANDFLOOR 015","Various - Tarifa Sandfloor Club Vol.2","","","https://api.discogs.com/releases/12070417","{'want': 1, 'have': 1}","1","[{'name': 'CD', 'qty': '1', 'text': 'Digipack', 'descriptions': ['Album']}]"
"159","Russia","2006","['CD', 'CD-ROM', 'Compilation', 'Unofficial Release']","['Ice Records']","release","['Electronic']","['Progressive House']","9638535","['4607313317625', 'AR 084']","0","None","/release/9638535-Various-Progressive-House","AR 084","Various - Progressive House","","","https://api.discogs.com/releases/9638535","{'want': 2, 'have': 2}","1","[{'name': 'CD', 'qty': '1', 'text': 'MP3', 'descriptions': ['CD-ROM', 'Compilation', 'Unofficial Release']}]"
"160","US","2016","['Vinyl', '12', 'Promo', '33 ⅓ RPM']","['Crescent Moon Records', 'Epic Dance', 'Sony Music Entertainment Inc.', 'Foreign Imported Productions & Publishing, Inc.', 'Capitol Mastering']","release","['Electronic']","['House', 'Latin']","4225331","['XSS 6590A', 'XSS 6590B', 'XSS • 6590 • A • RE1   KEV', 'XSS • 6590 • B • 1A   KEV', 'MASTERED BY CAPITOL', 'BMI']","0","None","/release/4225331-MSM-Miami-Sound-Machine-Jambala","AED 6590","MSM (Miami Sound Machine)* - Jambala","","","https://api.discogs.com/releases/4225331","{'want': 32, 'have': 22}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', 'Promo', '33 ⅓ RPM']}]"
"161","US","2016","['Vinyl', '12', '33 ⅓ RPM']","['Epic Dance', 'Epic Soundtrax', 'Crescent Moon Records']","release","['Electronic']","['House', 'Latin']","223045","['0 9870-77707-1 5', '49 77707-S1', 'MASTERED BY CAPITOL [Stamped] <M-M    XSS-77707-A    1A', 'MASTERED BY CAPITOL [Stamped] <M-M    XSS-77707-B    1A']","292570","https://api.discogs.com/masters/292570","/release/223045-MSM-Miami-Sound-Machine-Donna-Allen-Jambala-Love-Is-The-Thing","49 77707","MSM (Miami Sound Machine)* / Donna Allen - Jambala / Love Is The Thing","","","https://api.discogs.com/releases/223045","{'want': 30, 'have': 164}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM']}]"
"162","UK","2006","['Vinyl', '12', '33 ⅓ RPM']","['MAMA Records']","release","['Electronic']","['House']","44944","[]","1597435","https://api.discogs.com/masters/1597435","/Nature-Boys-The-Drummer-EP/release/44944","MAMT 008","Nature Boys - The Drummer EP","","","https://api.discogs.com/releases/44944","{'want': 56, 'have': 64}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM']}]"
"163","UK","2006","['Vinyl', '12', '33 ⅓ RPM']","['MAMA Records', 'MAMA Records Ltd.', 'MAMA Records Ltd.', 'The Exchange']","release","['Electronic']","['House']","14052377","['MAM T 008 - A1 PR-M DMM THE EXCHANGE NILZ (D.M.M)', 'MAM T 008 - AA1  PR-M DMM THE EXCHANGE NILZ (D.M.M)']","1597435","https://api.discogs.com/masters/1597435","/Nature-Boys-The-Drummer-EP/release/14052377","MAMT 008","Nature Boys - The Drummer EP","","","https://api.discogs.com/releases/14052377","{'want': 51, 'have': 48}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM']}]"
"164","France","2004","['Vinyl', '12', '45 RPM', 'Maxi-Single']","['Universal Licensing Music (ULM)', 'Universal Licensing Music (ULM)', 'Universal Licensing Music (ULM)', 'DFI', 'Translab']","release","['Electronic']","['House']","2074195","['601215851311', '6 01215 85131 1', 'LC 07340', '= 158513 1 CHAB-TR NESS DFI- 00 7 0000274-A', '= 158513 1 CHAB-TR NESS 000274-B DFI-007', 'SACEM']","0","None","/release/2074195-Ness-Jam-Box","158 513-1","Ness (4) - Jam Box","","","https://api.discogs.com/releases/2074195","{'want': 3, 'have': 10}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '45 RPM', 'Maxi-Single']}]"
"165","Europe","1997","['CD', 'Album', 'Repress', 'Stereo']","['Columbia', 'Columbia', 'Sony Music Entertainment Inc.', 'Sony Music Entertainment Inc.', 'Sony Music', 'Gateway Mastering', 'Sony Songs Inc.', 'Rye Songs', 'Stone Jam Publishing', 'Ness, Nitty & Capone, Inc.', 'Sony Music Publishing', 'Wb Music Corp.', 'Irving Music, Inc.', 'Wallyworld Music', 'EMI Virgin Music, Inc.', 'Red Instructional Music', 'Robi-Rob Music', 'ECAF Music', 'Apple Publishing Ltd.', 'Right Track Recording', 'The Plant Studios', 'Record Plant, Los Angeles', 'Axis Studios', 'Electric Lady Studios', 'House Of Sound', 'Criteria Recording Studios', 'Sony Music Studios, New York City', 'Electric Lady Studios', 'Sony Music', 'DADC Austria']","release","['Funk / Soul', 'Pop']","['Contemporary R&B', 'Ballad']","439415","['5 099747 427022', '5099747427022', 'LC 0162', 'BIEM/SDRM', 'CB 811', 'CDC', '01-474270-10', '01-474270-10 83 B12 Sony Music', '01-474270-10 83 B10 Sony Music', '01-474270-10 94 A4 Sony Music', '01-474270-10 83 B1 Sony Music', '01-474270-10 63 B24 Sony Music', '01-474270-10 104 A4 Sony Music', '01-474270-10 94 A6 Sony Music', '01-474270-10 83 B3 Sony Music', '01-474270-10 94 A5 Sony Music', '01-474270-10 94 A2 Sony Music', '01-474270-10 104 A5 Sony Music', '01-474270-10 104 A6 Sony Music', '01-474270-10 83 A9 Sony Music', '01-474270-10 94 A7 Sony Music', '01-474270-10 94 A1 Sony Music', '01-474270-10 104 A8 Sony Music', '01-474270-10 83 B11 Sony Music', '01-474270-10 94 A3 Sony Music', '01-474270-10 113 A5 Sony Music', '01-474270-10 113 B7 Sony Music', '01-474270-10 83 B7 Sony Music', '01-474270-10 94 A12 Sony Music']","79031","https://api.discogs.com/masters/79031","/release/439415-Mariah-Carey-Music-Box","COL 474270 2","Mariah Carey - Music Box","","","https://api.discogs.com/releases/439415","{'want': 84, 'have': 3311}","1","[{'name': 'CD', 'qty': '1', 'descriptions': ['Album', 'Repress', 'Stereo']}]"
"166","US","1997","['Box Set', 'Deluxe Edition', 'CD', 'Album', 'Remastered', 'CD', 'Compilation', 'Remastered']","['Traffic Entertainment Group', 'Elektra Entertainment Group', 'Warner Music Group', 'Elektra Entertainment Group', 'Traffic Entertainment Group', 'Rhino Entertainment Company', 'Untouchables Entertainment', 'Ness, Nitty & Capone Publishing', 'Smooth Flowin Publishing', 'Pete Rock Publishing', 'Grand Puba Publishing', 'Velle International', 'Def Jam Publishing', 'E - Z Duz-It Publishing', 'Baby Pah Publishing', 'Rob O Publishing', 'Greene St. Recording', 'The Hit Factory']","release","['Hip Hop']","['Conscious']","2455324","['8 29357 55152 8', '829357551528', 'Z88461 | 45 TEG2 75515A-2 01', 'ifpi L909', 'IFPI 2U8J', 'IFPI 2U8I', 'Z88462 | 45 TEG2 75515B-2 01', 'ifpi L909', 'IFPI 2U8J', 'IFPI 2U8I']","39477","https://api.discogs.com/masters/39477","/release/2455324-Pete-Rock-CL-Smooth-Mecca-And-The-Soul-Brother","TEG-75515-2","Pete Rock & CL Smooth* - Mecca And The Soul Brother","","","https://api.discogs.com/releases/2455324","{'want': 348, 'have': 483}","2","[{'name': 'Box Set', 'qty': '1', 'descriptions': ['Deluxe Edition']}, {'name': 'CD', 'qty': '1', 'descriptions': ['Album', 'Remastered']}, {'name': 'CD', 'qty': '1', 'descriptions': ['Compilation', 'Remastered']}]"
