id_main,position,type_,artists,title,duration,extraartists
10212447,27,track,"[{'name': 'Post Scriptum (6)', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 4413232, 'resource_url': 'https://api.discogs.com/artists/4413232'}]",Nuestra Planeta,,
10212447,28,track,"[{'name': 'Gravity Disturbance', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5170316, 'resource_url': 'https://api.discogs.com/artists/5170316'}]",Unknow Track,,
10212447,29,track,"[{'name': 'Bnjmn', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 1844953, 'resource_url': 'https://api.discogs.com/artists/1844953'}]",Mass Conductor Tiercel,,
10212447,30,track,"[{'name': 'Vortex Count', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 4770819, 'resource_url': 'https://api.discogs.com/artists/4770819'}]",Mettareflector,,
10212447,31,track,"[{'name': 'Eliom', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5722604, 'resource_url': 'https://api.discogs.com/artists/5722604'}]",Days Of Madness,,
10212447,32,track,"[{'name': 'XXX (37)', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5105343, 'resource_url': 'https://api.discogs.com/artists/5105343'}]",Worked With Your Girl ,,
10212447,33,track,"[{'name': 'Rhombic', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5619399, 'resource_url': 'https://api.discogs.com/artists/5619399'}]",Perseverance,,
10212447,34,track,"[{'name': '0X-303', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5722601, 'resource_url': 'https://api.discogs.com/artists/5722601'}]",Unknown Thought,,
10212447,35,track,"[{'name': 'Housemeister', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 52112, 'resource_url': 'https://api.discogs.com/artists/52112'}]",Stepmode (Gotshell Remix),,
10212447,36,track,"[{'name': 'Rhombic', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5619399, 'resource_url': 'https://api.discogs.com/artists/5619399'}]",Twelve Tones Manoeuvre,,
10212447,37,track,"[{'name': 'Keepsakes (2)', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 3296734, 'resource_url': 'https://api.discogs.com/artists/3296734'}]",Ever So Merry (Paul Birken Remix),,
10212447,38,track,"[{'name': 'XXX (37)', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 5105343, 'resource_url': 'https://api.discogs.com/artists/5105343'}]",Don't Get Fat,,
10212447,39,track,"[{'name': 'A Thousand Details', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 4394372, 'resource_url': 'https://api.discogs.com/artists/4394372'}]",RE-001,,
10212447,40,track,"[{'name': 'Post Scriptum (6)', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 4413232, 'resource_url': 'https://api.discogs.com/artists/4413232'}]",Year Zero,,
10212447,41,track,"[{'name': 'E110101', 'anv': '', 'join': '', 'role': '', 'tracks': '', 'id': 4456915, 'resource_url': 'https://api.discogs.com/artists/4456915'}]",000041,,
