id_main,type,uri,resource_url,uri150,width,height
10028704,secondary,https://i.discogs.com/EdCRBHc_BHeVbOID-VjN0BdNJsr2_eLYpoaQJAFNjQ4/rs:fit/g:sm/q:90/h:501/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/MzYtOTE1MC5tcG8.jpeg,https://i.discogs.com/EdCRBHc_BHeVbOID-VjN0BdNJsr2_eLYpoaQJAFNjQ4/rs:fit/g:sm/q:90/h:501/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/MzYtOTE1MC5tcG8.jpeg,https://i.discogs.com/yvmVQKEsTxp7YrGUiEvoSIzDojXAO-euQHOZ4QvbYS0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/MzYtOTE1MC5tcG8.jpeg,600,501
10028704,secondary,https://i.discogs.com/5w0SopF8KjunBI0LPzq1NMsh808gcrG2g09KoyP6hPE/rs:fit/g:sm/q:90/h:585/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NjUtMzQ0Ni5tcG8.jpeg,https://i.discogs.com/5w0SopF8KjunBI0LPzq1NMsh808gcrG2g09KoyP6hPE/rs:fit/g:sm/q:90/h:585/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NjUtMzQ0Ni5tcG8.jpeg,https://i.discogs.com/Dc5apAo2MbgbtA4nxjghh-WzOyEvkK-n1i21ENGiEns/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NjUtMzQ0Ni5tcG8.jpeg,600,585
10028704,secondary,https://i.discogs.com/4J0hW_RKhi3_Y_cCdrdCACfy_wJZapGLsoCRfyr32g0/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NjMtNDgyNC5tcG8.jpeg,https://i.discogs.com/4J0hW_RKhi3_Y_cCdrdCACfy_wJZapGLsoCRfyr32g0/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NjMtNDgyNC5tcG8.jpeg,https://i.discogs.com/4ae7KvMIbQsViTOMV2AEsyNjJFjOCS6nwIF3AtYEi08/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NjMtNDgyNC5tcG8.jpeg,600,589
10028704,secondary,https://i.discogs.com/2NcqEQM68GSlMtZdi-eMKH1bGZqfDCwZXmXwNNbxniw/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NTItNTM3NC5tcG8.jpeg,https://i.discogs.com/2NcqEQM68GSlMtZdi-eMKH1bGZqfDCwZXmXwNNbxniw/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NTItNTM3NC5tcG8.jpeg,https://i.discogs.com/JeC3P7lWAM5dZY7YdIxItD_HqCVYsWflqO1i12sUyVE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NTItNTM3NC5tcG8.jpeg,600,595
10028704,secondary,https://i.discogs.com/nFObYpbV4jkVGmya32krB0HHx0MZBY4JtrtclVhNMf0/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NDItMTM4My5tcG8.jpeg,https://i.discogs.com/nFObYpbV4jkVGmya32krB0HHx0MZBY4JtrtclVhNMf0/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NDItMTM4My5tcG8.jpeg,https://i.discogs.com/-HWJtZUCHfRdOE4ZXrX0nO5eLYfVzhuCNNQLmdy6goI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NDItMTM4My5tcG8.jpeg,600,594
10028704,secondary,https://i.discogs.com/hY1LlyxpglIT1MiIYDabXZnVebJXpgwXpKgF5lBg4AI/rs:fit/g:sm/q:90/h:389/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NDQtODgzNi5tcG8.jpeg,https://i.discogs.com/hY1LlyxpglIT1MiIYDabXZnVebJXpgwXpKgF5lBg4AI/rs:fit/g:sm/q:90/h:389/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NDQtODgzNi5tcG8.jpeg,https://i.discogs.com/mHFo6boEbf2CualBxbgSq3i0AQ89aCPLNwhZNYUsgMU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzA0LTE0OTAzODYz/NDQtODgzNi5tcG8.jpeg,600,389
10028974,secondary,https://i.discogs.com/1kbuvKN4bgcRNcTJlEp7ImsTrzaKBFA4LdLK2VKfqSI/rs:fit/g:sm/q:90/h:600/w:461/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/OTc0LTE0OTAzODg1/NzQtNTgyOC5qcGVn.jpeg,https://i.discogs.com/1kbuvKN4bgcRNcTJlEp7ImsTrzaKBFA4LdLK2VKfqSI/rs:fit/g:sm/q:90/h:600/w:461/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/OTc0LTE0OTAzODg1/NzQtNTgyOC5qcGVn.jpeg,https://i.discogs.com/Z0BD19ojSvhVbP-lcxUE-IbqjWT01GWFrluHfbvCQ0g/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/OTc0LTE0OTAzODg1/NzQtNTgyOC5qcGVn.jpeg,461,600
10039902,primary,https://i.discogs.com/X_9vCFzaKWZhE4Hv29p6nU-hLTN8iSPQmtThbgw2gkM/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDEtMjQ0MC5qcGVn.jpeg,https://i.discogs.com/X_9vCFzaKWZhE4Hv29p6nU-hLTN8iSPQmtThbgw2gkM/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDEtMjQ0MC5qcGVn.jpeg,https://i.discogs.com/ShC9gpROk-kWE6mALIWta5U8f1gURVKO-mYXX8DqOqk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDEtMjQ0MC5qcGVn.jpeg,597,600
10039902,secondary,https://i.discogs.com/-j4Z8yKGavdiX_-mQNEtl2qUIJFz5yTjmYC0WQpnoQE/rs:fit/g:sm/q:90/h:464/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NTAtNjM3OS5qcGVn.jpeg,https://i.discogs.com/-j4Z8yKGavdiX_-mQNEtl2qUIJFz5yTjmYC0WQpnoQE/rs:fit/g:sm/q:90/h:464/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NTAtNjM3OS5qcGVn.jpeg,https://i.discogs.com/O7D23GFd_6OHaAVk6ORngssAUT7Y-otqwEr0MhjCTZI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NTAtNjM3OS5qcGVn.jpeg,600,464
10039902,secondary,https://i.discogs.com/4QLfLRt0dTQtFZ-EZeeh6eWXZNp8lmOKcAf2vzvt3yU/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDYtNTI3NS5qcGVn.jpeg,https://i.discogs.com/4QLfLRt0dTQtFZ-EZeeh6eWXZNp8lmOKcAf2vzvt3yU/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDYtNTI3NS5qcGVn.jpeg,https://i.discogs.com/6SLhL9ql9rG8am2Ukme7w3EGpHpd9gZNsjkBmghrXTU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDYtNTI3NS5qcGVn.jpeg,600,599
10039902,secondary,https://i.discogs.com/hE_yApDIeSltA0TOaJ-yAVOR5WTbHKsusJG5ySFalLw/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDgtNDQ5NS5qcGVn.jpeg,https://i.discogs.com/hE_yApDIeSltA0TOaJ-yAVOR5WTbHKsusJG5ySFalLw/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDgtNDQ5NS5qcGVn.jpeg,https://i.discogs.com/5DdxWcM6pqMFoH0SZI6zAuqWztrQcb2qbcfjhvCNHNM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDgtNDQ5NS5qcGVn.jpeg,600,599
10039902,secondary,https://i.discogs.com/tHJnuifQlMGfb-L7874pGzhb-TkRhU6OMH9bXv2YwGA/rs:fit/g:sm/q:90/h:600/w:590/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDktMjE2NS5qcGVn.jpeg,https://i.discogs.com/tHJnuifQlMGfb-L7874pGzhb-TkRhU6OMH9bXv2YwGA/rs:fit/g:sm/q:90/h:600/w:590/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDktMjE2NS5qcGVn.jpeg,https://i.discogs.com/ygjpPXpz2Bn-oMK4I1LB7LyguBaF4IZpYh19ysuHvF4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDktMjE2NS5qcGVn.jpeg,590,600
10039902,secondary,https://i.discogs.com/FrTwesOqFo6-7VblAetGSesWh3pWxBkQee8EZupaBCc/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDQtNDgxOC5qcGVn.jpeg,https://i.discogs.com/FrTwesOqFo6-7VblAetGSesWh3pWxBkQee8EZupaBCc/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDQtNDgxOC5qcGVn.jpeg,https://i.discogs.com/5soAz_7y1KpNEfeO-iLhk0VUQDGHDnu_WRBWu6CmqRQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM5/OTAyLTE0OTA1NTk5/NDQtNDgxOC5qcGVn.jpeg,597,600
10045492,secondary,https://i.discogs.com/NZfnPdDe3RhqQHkzDGsro675AqYyWOrTgz07gDNX6V0/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/MjItNTA4NS5qcGVn.jpeg,https://i.discogs.com/NZfnPdDe3RhqQHkzDGsro675AqYyWOrTgz07gDNX6V0/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/MjItNTA4NS5qcGVn.jpeg,https://i.discogs.com/5Pg8k0bQEFXwxwCgsgSc6OkzJYUwsDuuoexIlzyIiE8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/MjItNTA4NS5qcGVn.jpeg,593,600
10045492,secondary,https://i.discogs.com/uNo7OzMrP1hRmeQLf-6BkpVy_N27-krINb7fUx8IOp4/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/ODAtMzAyMC5qcGVn.jpeg,https://i.discogs.com/uNo7OzMrP1hRmeQLf-6BkpVy_N27-krINb7fUx8IOp4/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/ODAtMzAyMC5qcGVn.jpeg,https://i.discogs.com/BRXBlxpcz9NtDNsOgS8eop4af6aRp_SG2GX3gOGjeg4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/ODAtMzAyMC5qcGVn.jpeg,599,600
10045492,secondary,https://i.discogs.com/gvtQ4VcJC3VFWoVhqsH2c-KN7KaQIJSBI7nepFWmf1E/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/OTgtOTM3MS5qcGVn.jpeg,https://i.discogs.com/gvtQ4VcJC3VFWoVhqsH2c-KN7KaQIJSBI7nepFWmf1E/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/OTgtOTM3MS5qcGVn.jpeg,https://i.discogs.com/dIipOyDtiFA27F7tENFj3GAyNbKZZuf0xm_c7V8OdZ0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkw/OTgtOTM3MS5qcGVn.jpeg,600,600
10045492,secondary,https://i.discogs.com/4Swf_3xluH59TrNO3xUQ4Ej0laTZgF3pnbvveIDIU7Q/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkx/NTMtNzU1NC5qcGVn.jpeg,https://i.discogs.com/4Swf_3xluH59TrNO3xUQ4Ej0laTZgF3pnbvveIDIU7Q/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkx/NTMtNzU1NC5qcGVn.jpeg,https://i.discogs.com/VGwaEvhY5X2Q3xo7wY9NlJAlSPafLG2bTNSIIqnBghI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDQ1/NDkyLTE0OTA2NTkx/NTMtNzU1NC5qcGVn.jpeg,596,600
