Z_tech_index,country,year,format,label,type,genre,style,id,barcode,master_id,master_url,uri,catno,title,thumb,cover_image,resource_url,community,format_quantity,formats,etag
1492,Italy,1997,"[""Vinyl"", ""12\"""", ""Test Pressing"", ""EP""]","[""Dee-P-erfect"", ""Kucs Sound 4""]",release,"[""Electronic""]","[""Progressive House""]",904382,"[""8026728200128""]",0,,/PL-Production-Frequency-ep/release/904382,DPE 012,P&L Production - Frequency ep,,,https://api.discogs.com/releases/904382,"{""want"": 109, ""have"": 55}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""Test Pressing"", ""EP""]}]",WbKqEta5RpEqiyYhF9RH9VuveZ8
1493,Italy,1997,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Presslab Records"", ""Hit Sound Studios""]",release,"[""Electronic""]","[""Progressive House""]",681458,[],1467430,https://api.discogs.com/masters/1467430,/release/681458-Presslaboys-Taste-My-Body-Rmxs,PS 006/2,Presslaboys - Taste My Body Rmxs,,,https://api.discogs.com/releases/681458,"{""want"": 184, ""have"": 126}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",tCtPq6X7FW3-KdDwZIHQ6ivgYWk
1494,Italy,1998,"[""Vinyl"", ""12\"""", ""White Label""]","[""Presslab Records""]",release,"[""Electronic""]","[""Progressive House"", ""Tech House""]",12919508,[],1467430,https://api.discogs.com/masters/1467430,/release/12919508-Presslaboys-Taste-My-Body-Rmx,PS/006-2,Presslaboys - Taste My Body Rmx,,,https://api.discogs.com/releases/12919508,"{""want"": 61, ""have"": 9}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""White Label""]}]",tCtPq6X7FW3-KdDwZIHQ6ivgYWk
1495,US,2004,"[""Vinyl"", ""12\"""", ""EP""]","[""Blinded Records""]",release,"[""Electronic""]","[""Deep House""]",49248,[],0,,/Osheen-The-Meltdown-EP/release/49248,B-001,Osheen - The Meltdown E.P.,,,https://api.discogs.com/releases/49248,"{""want"": 180, ""have"": 138}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""text"": ""Transparent"", ""descriptions"": [""12\"""", ""EP""]}]",YiFcbLN4_fzA-0c09zf_RWbRI5U
1496,US,1999,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM"", ""EP""]","[""Overeasy Records""]",release,"[""Electronic""]","[""Tech House"", ""Progressive Trance""]",183685,[],0,,/D-D-Project-Sunday-EP/release/183685,OE2001001,D & D Project - Sunday EP,,,https://api.discogs.com/releases/183685,"{""want"": 388, ""have"": 55}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM"", ""EP""]}]",iAh7QXa5uCGoGo9FR_cRB3lB0W8
1497,Switzerland,2001,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Elevator Music"", ""TBA International""]",release,"[""Electronic""]","[""House""]",2030020,"[""SUISA""]",0,,/X-Rhythm-Ill-Ride-You/release/2030020,EM-1201,X-Rhythm - I'll Ride You,,,https://api.discogs.com/releases/2030020,"{""want"": 203, ""have"": 24}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",WJrV1UpyG6-oLclxwN0efLYsTj8
1498,Unknown,2001,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM"", ""Limited Edition""]","[""E-Lab Music""]",release,"[""Electronic""]","[""House""]",3831686,"[""8022745015271"", ""s.i.a.e.""]",0,,/release/3831686-Dj-Esse-Eternal,elb001,Dj Esse - Eternal,,,https://api.discogs.com/releases/3831686,"{""want"": 113, ""have"": 49}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM"", ""Limited Edition""]}]",1tRZr9h9zISuGujUSRTtF9Vsyko
1499,Netherlands,1995,"[""Vinyl"", ""12\"""", ""EP""]","[""Motivator""]",release,"[""Electronic""]","[""Progressive House""]",657617,[],0,,/DJ-Antoine-Maximizer-EP/release/657617,MOTIV 9503,DJ Antoine (2) - Maximizer E.P.,,,https://api.discogs.com/releases/657617,"{""want"": 352, ""have"": 55}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""EP""]}]",u9oliHjoiGcdKkblC6qS1GlmQGQ
1500,Netherlands,1996,"[""Vinyl"", ""12\"""", ""EP""]","[""Flower Grooves"", ""XSV Music Publishing""]",release,"[""Electronic""]","[""Tribal House"", ""Tech House""]",369085,"[""8 713359 002794"", ""STEMRA""]",3566573,https://api.discogs.com/masters/3566573,/release/369085-Le-Strange-The-Bridge-EP,FG009-5,Le Strange - The Bridge E.P.,,,https://api.discogs.com/releases/369085,"{""want"": 527, ""have"": 95}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""EP""]}]",eLDlqLa_GdqtA58UIlMsJ_U4cTY
1501,Netherlands,1999,"[""Vinyl"", ""12\"""", ""EP"", ""White Label""]","[""Flower Grooves"", ""XSV Music Publishing""]",release,"[""Electronic""]","[""Tribal House"", ""Tech House""]",31451393,"[""8 713359 002794"", ""STEMRA""]",3566573,https://api.discogs.com/masters/3566573,/release/31451393-Le-Strange-The-Bridge-EP,FG009-5,Le Strange - The Bridge E.P.,,,https://api.discogs.com/releases/31451393,"{""want"": 27, ""have"": 1}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""text"": ""Stickered"", ""descriptions"": [""12\"""", ""EP"", ""White Label""]}]",eLDlqLa_GdqtA58UIlMsJ_U4cTY
